parent,parent_type,child,child_type
E12999901,PANRGN22CD,E12000001,RGN22CD
E12999901,PANRGN22CD,E12000002,RGN22CD
E12999901,PANRGN22CD,E12000003,RGN22CD
E12000001,RGN22CD,E11000007,CTY22CD
E12000001,RGN22CD,E47000006,CAUTH22CD
E12000001,RGN22CD,E47000010,CAUTH22CD
E12000001,RGN22CD,E47000011,CAUTH22CD
E12000002,RGN22CD,E10000006,CTY22CD
E12000002,RGN22CD,E10000017,CTY22CD
E12000002,RGN22CD,E11000001,CTY22CD
E12000002,RGN22CD,E11000002,CTY22CD
E12000002,RGN22CD,E47000004,CAUTH22CD
E12000002,RGN22CD,E06000007,LAD22CD
E12000002,RGN22CD,E06000008,LAD22CD
E12000002,RGN22CD,E06000009,LAD22CD
E12000002,RGN22CD,E06000049,LAD22CD
E12000002,RGN22CD,E06000050,LAD22CD
E12000003,RGN22CD,E10000023,CTY22CD
E12000003,RGN22CD,E11000003,CTY22CD
E12000003,RGN22CD,E11000006,CTY22CD
E12000003,RGN22CD,E06000010,LAD22CD
E12000003,RGN22CD,E06000011,LAD22CD
E12000003,RGN22CD,E06000012,LAD22CD
E12000003,RGN22CD,E06000013,LAD22CD
E12000003,RGN22CD,E06000014,LAD22CD
E11000007,CTY22CD,E47000010,CAUTH22CD
E11000007,CTY22CD,E47000011,CAUTH22CD
E10000006,CTY22CD,E07000026,LAD22CD
E10000006,CTY22CD,E07000027,LAD22CD
E10000006,CTY22CD,E07000028,LAD22CD
E10000006,CTY22CD,E07000029,LAD22CD
E10000006,CTY22CD,E07000030,LAD22CD
E10000006,CTY22CD,E07000031,LAD22CD
E10000017,CTY22CD,E07000117,LAD22CD
E10000017,CTY22CD,E07000118,LAD22CD
E10000017,CTY22CD,E07000119,LAD22CD
E10000017,CTY22CD,E07000120,LAD22CD
E10000017,CTY22CD,E07000121,LAD22CD
E10000017,CTY22CD,E07000122,LAD22CD
E10000017,CTY22CD,E07000123,LAD22CD
E10000017,CTY22CD,E07000124,LAD22CD
E10000017,CTY22CD,E07000125,LAD22CD
E10000017,CTY22CD,E07000126,LAD22CD
E10000017,CTY22CD,E07000127,LAD22CD
E10000017,CTY22CD,E07000128,LAD22CD
E11000001,CTY22CD,E47000001,CAUTH22CD
E11000002,CTY22CD,E47000004,CAUTH22CD
E10000023,CTY22CD,E07000163,LAD22CD
E10000023,CTY22CD,E07000164,LAD22CD
E10000023,CTY22CD,E07000165,LAD22CD
E10000023,CTY22CD,E07000166,LAD22CD
E10000023,CTY22CD,E07000167,LAD22CD
E10000023,CTY22CD,E07000168,LAD22CD
E10000023,CTY22CD,E07000169,LAD22CD
E11000003,CTY22CD,E47000002,CAUTH22CD
E11000006,CTY22CD,E47000003,CAUTH22CD
E47000010,CAUTH22CD,E08000023,LAD22CD
E47000010,CAUTH22CD,E08000024,LAD22CD
E47000010,CAUTH22CD,E08000037,LAD22CD
E47000011,CAUTH22CD,E08000021,LAD22CD
E47000011,CAUTH22CD,E08000022,LAD22CD
E47000006,CAUTH22CD,E06000001,LAD22CD
E47000006,CAUTH22CD,E06000002,LAD22CD
E47000006,CAUTH22CD,E06000003,LAD22CD
E47000006,CAUTH22CD,E06000004,LAD22CD
E47000006,CAUTH22CD,E06000005,LAD22CD
E47000010,CAUTH22CD,E06000047,LAD22CD
E47000011,CAUTH22CD,E06000057,LAD22CD
E47000001,CAUTH22CD,E08000001,LAD22CD
E47000001,CAUTH22CD,E08000002,LAD22CD
E47000001,CAUTH22CD,E08000003,LAD22CD
E47000001,CAUTH22CD,E08000004,LAD22CD
E47000001,CAUTH22CD,E08000005,LAD22CD
E47000001,CAUTH22CD,E08000006,LAD22CD
E47000001,CAUTH22CD,E08000007,LAD22CD
E47000001,CAUTH22CD,E08000008,LAD22CD
E47000001,CAUTH22CD,E08000009,LAD22CD
E47000001,CAUTH22CD,E08000010,LAD22CD
E47000004,CAUTH22CD,E08000011,LAD22CD
E47000004,CAUTH22CD,E08000012,LAD22CD
E47000004,CAUTH22CD,E08000013,LAD22CD
E47000004,CAUTH22CD,E08000014,LAD22CD
E47000004,CAUTH22CD,E08000015,LAD22CD
E47000004,CAUTH22CD,E06000006,LAD22CD
E47000002,CAUTH22CD,E08000016,LAD22CD
E47000002,CAUTH22CD,E08000017,LAD22CD
E47000002,CAUTH22CD,E08000018,LAD22CD
E47000002,CAUTH22CD,E08000019,LAD22CD
E47000003,CAUTH22CD,E08000032,LAD22CD
E47000003,CAUTH22CD,E08000033,LAD22CD
E47000003,CAUTH22CD,E08000034,LAD22CD
E47000003,CAUTH22CD,E08000035,LAD22CD
E47000003,CAUTH22CD,E08000036,LAD22CD
E08000023,LAD22CD,E05001135,WD22CD
E08000023,LAD22CD,E05001136,WD22CD
E08000023,LAD22CD,E05001137,WD22CD
E08000023,LAD22CD,E05001138,WD22CD
E08000023,LAD22CD,E05001139,WD22CD
E08000023,LAD22CD,E05001140,WD22CD
E08000023,LAD22CD,E05001141,WD22CD
E08000023,LAD22CD,E05001142,WD22CD
E08000023,LAD22CD,E05001143,WD22CD
E08000023,LAD22CD,E05001144,WD22CD
E08000023,LAD22CD,E05001145,WD22CD
E08000023,LAD22CD,E05001146,WD22CD
E08000023,LAD22CD,E05001147,WD22CD
E08000023,LAD22CD,E05001148,WD22CD
E08000023,LAD22CD,E05001149,WD22CD
E08000023,LAD22CD,E05001150,WD22CD
E08000023,LAD22CD,E05001151,WD22CD
E08000023,LAD22CD,E05001152,WD22CD
E08000024,LAD22CD,E05001153,WD22CD
E08000024,LAD22CD,E05001154,WD22CD
E08000024,LAD22CD,E05001155,WD22CD
E08000024,LAD22CD,E05001156,WD22CD
E08000024,LAD22CD,E05001157,WD22CD
E08000024,LAD22CD,E05001158,WD22CD
E08000024,LAD22CD,E05001159,WD22CD
E08000024,LAD22CD,E05001160,WD22CD
E08000024,LAD22CD,E05001161,WD22CD
E08000024,LAD22CD,E05001162,WD22CD
E08000024,LAD22CD,E05001163,WD22CD
E08000024,LAD22CD,E05001164,WD22CD
E08000024,LAD22CD,E05001165,WD22CD
E08000024,LAD22CD,E05001166,WD22CD
E08000024,LAD22CD,E05001167,WD22CD
E08000024,LAD22CD,E05001168,WD22CD
E08000024,LAD22CD,E05001169,WD22CD
E08000024,LAD22CD,E05001170,WD22CD
E08000024,LAD22CD,E05001171,WD22CD
E08000024,LAD22CD,E05001172,WD22CD
E08000024,LAD22CD,E05001173,WD22CD
E08000024,LAD22CD,E05001174,WD22CD
E08000024,LAD22CD,E05001175,WD22CD
E08000024,LAD22CD,E05001176,WD22CD
E08000024,LAD22CD,E05001177,WD22CD
E08000037,LAD22CD,E05001067,WD22CD
E08000037,LAD22CD,E05001068,WD22CD
E08000037,LAD22CD,E05001069,WD22CD
E08000037,LAD22CD,E05001071,WD22CD
E08000037,LAD22CD,E05001072,WD22CD
E08000037,LAD22CD,E05001073,WD22CD
E08000037,LAD22CD,E05001074,WD22CD
E08000037,LAD22CD,E05001075,WD22CD
E08000037,LAD22CD,E05001076,WD22CD
E08000037,LAD22CD,E05001077,WD22CD
E08000037,LAD22CD,E05001078,WD22CD
E08000037,LAD22CD,E05001079,WD22CD
