PANRGN22CD,PANRGN22NM,RGN22CD,RGN22NM,CTY22CD,CTY22NM,CAUTH22CD,CAUTH22NM,LAD22CD,LAD22NM,WD22CD,WD22NM
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001135,Beacon and Bents
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001136,Bede
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001137,Biddick and All Saints
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001138,Boldon Colliery
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001139,Cleadon and East Boldon
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001140,Cleadon Park
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001141,Fellgate and Hedworth
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001142,Harton
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001143,Hebburn North
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001144,Hebburn South
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001145,Horsley Hill
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001146,Monkton
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001147,Primrose
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001148,Simonside and Rekendyke
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001149,Westoe
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001150,West Park
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001151,Whitburn and Marsden
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000023,South Tyneside,E05001152,Whiteleas
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001153,Barnes
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001154,Castle
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001155,Copt Hill
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001156,Doxford
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001157,Fulwell
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001158,Hendon
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001159,Hetton
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001160,Houghton
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001161,Millfield
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001162,Pallion
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001163,Redhill
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001164,Ryhope
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001165,St Anne's
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001166,St Chad's
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001167,St Michael's
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001168,St Peter's
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001169,Sandhill
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001170,Shiney Row
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001171,Silksworth
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001172,Southwick
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001173,Washington Central
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001174,Washington East
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001175,Washington North
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001176,Washington South
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000024,Sunderland,E05001177,Washington West
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001067,Birtley
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001068,Blaydon
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001069,Bridges
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001071,Chowdene
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001072,Crawcrook and Greenside
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001073,Deckham
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001074,Dunston and Teams
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001075,Dunston Hill and Whickham East
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001076,Felling
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001077,High Fell
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001078,Lamesley
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001079,Lobley Hill and Bensham
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001080,Low Fell
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001081,Pelaw and Heworth
E12999901,The North,E12000001,North East,E11000007,Tyne and Wear,E47000010,North East,E08000037,Gateshead,E05001082,"Ryton, Crookhill and Stella"
