geography_code,Number of persons,number_of_children,pensioners,working_age,direct_parents
E05005357,6331.0,,,,[]
E05005358,5456.0,,,,[]
E05005359,3749.0,,,,[]
E05005360,4326.0,,,,[]
E05005361,4463.0,,,,[]
E05005362,4800.0,,,,[]
E05005363,8955.0,,,,[]
E05005364,4729.0,,,,[]
E05005365,2064.0,,,,[]
E05005366,3947.0,,,,[]
E05005367,5564.0,,,,[]
E05005368,3922.0,,,,[]
E05005369,4589.0,,,,[]
E05005370,3780.0,,,,[]
E05005371,2049.0,,,,[]
E05005372,4067.0,,,,[]
E05005373,5912.0,,,,[]
E05005374,4056.0,,,,[]
E05005375,6405.0,,,,[]
E05005376,5341.0,,,,[]
E05005377,5792.0,,,,[]
E05005378,6380.0,,,,[]
E05005379,3947.0,,,,[]
E05005380,1969.0,,,,[]
E05005381,1903.0,,,,[]
E07000127,117125.0,4260.0,3665.0,5028.0,['E10000017']
