dimension_name,dimension
First Earnings from Employment Month,str:field:WHP_First_Earnings:F_WHP_DATE:DATE_NAME
Start Month,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:START_MONTH
National - Regional - LA - OAs,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:COA11_R
Westminster Parliamentary Constituencies,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:PARLC_CODE
Age (bands and single year),str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:AGE
Area,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:CONTRACT_REFERENCE_NUMBER
Devolved Deal Area,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:DDA_FLAG
Eligibility Group,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:ENTRY_TYPE
Gender,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:CCSEX
Earnings Within 6 Months of Start,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:FP_6m_flag
Earnings Within 12 Months of Start,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:FP_12m_flag
Earnings Within 24 Months of Start,str:field:WHP_First_Earnings:V_F_WHP_FIRST_EARNINGS:FP_24m_flag
